"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"90";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-06";187,5;187,5;NA;NA;NA;118,75;68,75;NA;118,75;NA;NA;NA;68,75;NA;NA;NA
"91";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01";5292,5;3890;337,5;1065;1133,75;4158,75;NA;712,5;3177,5;337,5;421,25;NA;NA;643,75;NA;NA
"92";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02";7301,25;5180,625;396,875;1723,75;1060;5775,625;465,625;348,75;4366,25;396,875;711,25;NA;465,625;1012,5;NA;NA
"93";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-03";925;584,375;159,375;181,25;NA;715,625;209,375;NA;375;159,375;NA;NA;209,375;181,25;NA;NA
"94";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";7305;4952,5;587,5;1765;1358,75;5946,25;NA;937,5;4015;587,5;421,25;NA;NA;1343,75;NA;NA
"95";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";19871,25;14469,375;2084,375;3317,5;3392,5;15888,125;590,625;2431,25;11447,5;2084,375;961,25;NA;590,625;2356,25;NA;NA
"96";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-06";2062,5;1628,125;159,375;275;NA;1728,125;334,375;NA;1293,75;159,375;NA;NA;334,375;275;NA;NA
"97";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";8085;887,5;NA;7197,5;7197,5;887,5;NA;NA;887,5;NA;7197,5;NA;NA;NA;NA;NA
"98";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";612,5;250;250;112,5;362,5;250;NA;250;NA;250;112,5;NA;NA;NA;NA;NA
"99";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";305313,75;204150;52677,5;48486,25;24195;234918,75;46200;3607,5;166320;36805;14417,5;9702,5;34222,5;31793,75;6170;2275
"100";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";34355;26287,5;7642,5;425;200;27017,5;7137,5;NA;21082,5;5710;200;1932,5;5205;225;NA;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";1852,5;1690;162,5;NA;NA;1100;752,5;NA;1100;NA;NA;162,5;590;NA;NA;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";43580;29845;1690;12045;3127,5;30880;9572,5;275;20347,5;1290;2452,5;NA;9222,5;9242,5;400;350
"103";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";2435;2160;NA;275;NA;1990;445;NA;1715;NA;NA;NA;445;275;NA;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";20470;12670;907,5;6892,5;6657,5;11750;2062,5;250;10357,5;NA;5500;NA;2062,5;1392,5;907,5;NA
"105";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";137,5;NA;NA;137,5;NA;137,5;NA;NA;NA;NA;NA;NA;NA;137,5;NA;NA
"106";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";987,5;287,5;550;150;NA;875;112,5;NA;287,5;437,5;NA;112,5;NA;150;NA;NA
"107";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";2530;NA;2530;NA;87,5;2442,5;NA;NA;NA;2442,5;NA;NA;NA;NA;87,5;NA
"108";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";375;137,5;237,5;NA;NA;375;NA;NA;137,5;237,5;NA;NA;NA;NA;NA;NA
"109";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";718,75;100;618,75;NA;NA;718,75;NA;NA;100;618,75;NA;NA;NA;NA;NA;NA
"110";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";543,75;NA;543,75;NA;NA;543,75;NA;NA;NA;543,75;NA;NA;NA;NA;NA;NA
"111";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";30230;23705;3925;2600;1437,5;21760;7032,5;NA;18397,5;2025;1262,5;1725;5307,5;1337,5;175;NA
"112";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";225;125;NA;100;NA;225;NA;NA;125;NA;NA;NA;NA;100;NA;NA
"113";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";212,5;NA;NA;212,5;NA;212,5;NA;NA;NA;NA;NA;NA;NA;212,5;NA;NA
"114";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";3777,5;2835;NA;942,5;NA;3777,5;NA;NA;2835;NA;NA;NA;NA;942,5;NA;NA
"115";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-02";2357,5;2357,5;NA;NA;NA;2357,5;NA;NA;2357,5;NA;NA;NA;NA;NA;NA;NA
"116";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";1037,5;287,5;250;500;250;787,5;NA;NA;287,5;250;250;NA;NA;250;NA;NA
"117";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-02";187,5;187,5;NA;NA;NA;187,5;NA;NA;187,5;NA;NA;NA;NA;NA;NA;NA
"118";"O3-C-1";250;NA;NA;250;250;NA;NA;NA;NA;NA;250;NA;NA;NA;NA;NA
"119";"T1";24330;15462,5;6262,5;2605;4650;19505;175;3900;11387,5;6012,5;500;NA;175;2105;250;NA
"120";"T12";250;NA;NA;250;250;NA;NA;NA;NA;NA;250;NA;NA;NA;NA;NA
"121";"T13";7062,5;4812,5;1525;725;200;6862,5;NA;200;4612,5;1525;NA;NA;NA;725;NA;NA
"122";"T14";1900;NA;1900;NA;NA;1900;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA
"123";"T18";187,5;NA;187,5;NA;NA;187,5;NA;NA;NA;187,5;NA;NA;NA;NA;NA;NA
"124";"T19";1725;NA;1725;NA;NA;1725;NA;NA;NA;1725;NA;NA;NA;NA;NA;NA
"125";"T2";6462,5;3050;NA;3412,5;4225;2237,5;NA;2475;575;NA;1750;NA;NA;1662,5;NA;NA
"126";"T22";225;NA;225;NA;NA;225;NA;NA;NA;225;NA;NA;NA;NA;NA;NA
"127";"T25-C-2";512,5;512,5;NA;NA;NA;512,5;NA;NA;512,5;NA;NA;NA;NA;NA;NA;NA
"128";"T26";425;NA;425;NA;NA;425;NA;NA;NA;425;NA;NA;NA;NA;NA;NA
"129";"T27";3987,5;1362,5;2625;NA;NA;3987,5;NA;NA;1362,5;2625;NA;NA;NA;NA;NA;NA
"130";"T29";250;250;NA;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA;NA
"131";"T3";21812,5;11787,5;8525;1500;3500;18312,5;NA;2250;9537,5;8525;1250;NA;NA;250;NA;NA
"132";"T31";500;250;250;NA;NA;500;NA;NA;250;250;NA;NA;NA;NA;NA;NA
"133";"T32";1962,5;1025;NA;937,5;NA;1712,5;250;NA;775;NA;NA;NA;250;937,5;NA;NA
"134";"T34";1137,5;387,5;NA;750;750;387,5;NA;NA;387,5;NA;750;NA;NA;NA;NA;NA
"135";"T35";3112,5;1537,5;500;1075;400;2712,5;NA;NA;1537,5;500;400;NA;NA;675;NA;NA
"136";"T35-C-1";9727,5;3480;175;6072,5;937,5;8602,5;187,5;NA;3292,5;175;937,5;NA;187,5;5135;NA;NA
"137";"T35-C-2";12002,5;6402,5;100;5500;612,5;10627,5;762,5;NA;5640;100;612,5;NA;762,5;4887,5;NA;NA
"138";"T35-C-3";250;250;NA;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA;NA
"139";"T36-C-1";8312,5;4675;100;3537,5;237,5;8075;NA;137,5;4537,5;100;100;NA;NA;3437,5;NA;NA
"140";"T36-C-2";212,5;212,5;NA;NA;NA;212,5;NA;NA;212,5;NA;NA;NA;NA;NA;NA;NA
"141";"T36-C-3";1662,5;662,5;1000;NA;NA;1662,5;NA;NA;662,5;1000;NA;NA;NA;NA;NA;NA
"142";"T37";162,5;NA;NA;162,5;162,5;NA;NA;NA;NA;NA;162,5;NA;NA;NA;NA;NA
"143";"T37-C-2";5725;2262,5;NA;3462,5;637,5;4812,5;275;NA;1987,5;NA;637,5;NA;275;2825;NA;NA
"144";"T37-C-3";250;250;NA;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA;NA
"145";"T38";1500;275;NA;1225;337,5;1162,5;NA;NA;275;NA;337,5;NA;NA;887,5;NA;NA
"146";"T38-C-1";19232,5;8425;237,5;10570;1482,5;17750;NA;250;8175;237,5;1232,5;NA;NA;9337,5;NA;NA
"147";"T39";712,5;712,5;NA;NA;NA;712,5;NA;NA;712,5;NA;NA;NA;NA;NA;NA;NA
"148";"T39-C-1";350;200;NA;150;NA;350;NA;NA;200;NA;NA;NA;NA;150;NA;NA
"149";"T39-C-2";400;NA;NA;400;NA;400;NA;NA;NA;NA;NA;NA;NA;400;NA;NA
