"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"83";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";826982843,733688;NA;904106486,295241;NA;NA;833442105,32875;NA;NA;NA;3008307953,06578;NA;NA;NA;NA;NA;NA
"84";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-17";12900754,4208053;12225032,7809137;NA;NA;NA;13001517,5118525;NA;NA;118749774,223106;NA;NA;NA;NA;NA;NA;NA
"85";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";1380380723,02616;1018471696,50646;106994850,449141;207116783,778076;41287221,3202757;1346105390,6668;NA;685480730,455239;9788666733,80463;315556778,293613;414974115,764632;NA;NA;2768977056,63779;177866945,736527;NA
"86";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";693526763,518462;595548795,215027;52889499,9379276;16631433,3868905;20335497,0681955;638083096,508415;37702808,6635493;1330639065,00135;5229084885,61745;175983587,894515;NA;NA;307034755,788952;249008728,11491;NA;NA
"87";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";156810894,252891;140693265,194136;9118879,29964269;NA;NA;141783790,107702;15846107,989028;NA;1218208890,73703;30341997,9128475;NA;NA;129043593,012748;NA;NA;NA
"88";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";3962978301,99116;2864662422,85168;497526054,588505;483420330,445616;553782829,251061;3232670414,4556;152996904,721649;13319831448,6498;24364177814,7407;1598821010,02098;6784826792,75173;NA;1245938139,43343;1809463424,30168;249013724,031138;NA
"89";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";481109169,175892;385299309,026038;32827965,4787137;44350489,0317079;20540906,1294904;433869605,934318;27867293,3600147;NA;3481620535,62744;109231192,486251;414974115,764632;NA;226938732,53966;332011637,486546;NA;NA
"90";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-06";16682010,0269033;15808232,0442849;NA;NA;NA;10647794,5140171;6010592,68549337;NA;97251970,2689228;NA;NA;NA;48947569,7634561;NA;NA;NA
"91";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-01";470877536,359392;327968120,812098;32827965,4787137;94466541,6375379;93153009,297239;372896972,085631;NA;3830627611,36751;2602257983,40633;109231192,486251;699231385,063404;NA;NA;854929966,527856;NA;NA
"92";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-02";649597470,447616;436781451,383592;38603255,7018207;152898310,936813;87093441,9890393;517875100,547538;40708105,006296;1874991409,77462;3575801391,04576;128447791,164388;1180601359,35038;NA;331508540,67068;1344647131,82051;NA;NA
"93";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-03";82297916,1327232;49268989,8713546;15502094,8093926;16077052,2739941;NA;64166972,2028926;18304986,8149116;NA;307111485,059756;51581396,4518407;NA;NA;149067598,825071;240708437,177746;NA;NA
"94";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-04";649931110,648154;417548102,396379;57144976,9444275;156557226,281929;111639824,81378;533174300,033467;NA;5040299488,64147;3288140300,03979;190143186,920511;699231385,063404;NA;NA;1784562551,49019;NA;NA
"95";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-05";1767959422,65122;1219921266,85747;202743083,095389;294265494,725382;278740096,177185;1424618864,95173;51636455,3435567;13071176673,8769;9375089933,92415;674603753,595642;1595575475,11501;NA;420504122,058782;3129209683,3107;NA;NA
"96";"NiN-3.0-T-C-PE-NA-MB-TK01-M020-06";183502110,295937;137268148,251207;15502094,8093926;24392768,9674394;NA;154953430,690828;29233337,1521723;NA;1059534623,45616;51581396,4518407;NA;NA;238063180,213173;365212801,235201;NA;NA
"97";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-01";719328272,360072;74825631,6762819;NA;638425289,611436;591372687,468029;79578253,7363384;NA;NA;726830514,641423;NA;11947104792,8637;NA;NA;NA;NA;NA
"98";"NiN-3.0-T-C-PE-NA-MB-TK03-M020-02";54494566,0878843;21077642,7257132;24317011,4657138;9978860,03213429;29784313,8877611;22416409,5031939;NA;1344079863,63772;NA;80911994,4342599;186738352,094084;NA;NA;NA;NA;NA
"99";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";27163984207,2078;17212003049,8174;5123837485,94056;4300777797,6273;1987948895,21208;21064139599,9137;4039118284,65155;19395072432,2924;136210085853,703;11911863820,6117;23931557256,1463;7940529942,66478;24365210272,4346;42223579997,3515;8779512441,55498;13777541164,2207
"100";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";3056589090,52941;2216314132,60874;743371040,506872;37697915,6769517;16432724,9035923;2422541375,01017;624008804,257585;NA;17265807690,0595;1848029952,8785;331979292,611705;1581558785,28211;3705776009,00057;298810473,737891;NA;NA
"101";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";164818259,065805;142484864,825821;15806057,452714;NA;NA;98632201,8140532;65788669,0303093;NA;900860356,175285;NA;NA;132990066,032778;420059144,151841;NA;NA;NA
"102";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";3877343983,85305;2516248988,59564;164382997,508226;1068403280,77384;256966735,679925;2768874901,83451;836893068,827423;1478487850,0015;16663869179,3424;417505891,280781;4070896075,65104;NA;6566093994,81416;12274470237,8776;569174226,356887;2119621717,57241
"103";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";216643703,549385;182110833,150162;NA;24392768,9674394;NA;178434619,645424;38904927,200648;NA;1404523191,67328;NA;NA;NA;316824269,741643;365212801,235201;NA;NA
"104";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";1821230641,33713;1068214933,33915;88270751,6205413;611371491,302094;547004330,22833;1053571246,65011;180317780,564801;1344079863,63772;8482419217,35046;NA;9129430546,8219;NA;1468427092,90368;1849304820,80006;1291314026,04719;NA
"105";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";12233474,0197291;NA;NA;12196384,4837197;NA;12329025,2267567;NA;NA;NA;NA;NA;NA;NA;182606400,6176;NA;NA
"106";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";87858586,1416909;24239289,1345702;53497425,2245705;13305146,7095124;NA;78457433,2611787;9835515,30353461;NA;235452138,545813;141595990,259955;NA;92070045,715;NA;199206982,491928;NA;NA
"107";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";225095921,963016;NA;246088156,033024;NA;7189317,14532164;219008320,846205;NA;NA;NA;790510185,622719;NA;NA;NA;NA;124506862,015569;NA
"108";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";33364020,0538067;11592703,4991423;23101160,8924282;NA;NA;33624614,2547909;NA;NA;112607544,521911;76866394,7125469;NA;NA;NA;NA;NA;NA
"109";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";63947705,1031295;8431057,09028529;60184603,3776418;NA;NA;64447177,3216825;NA;NA;81896396,015935;200257186,224793;NA;NA;NA;NA;NA;NA
