"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"117";"T2";6462,5;NA;1662,5;4800;2775;3687,5;NA;NA;1000;662,5;NA;2112,5;2687,5;NA
"118";"T2-C-5";150;NA;150;NA;150;NA;NA;NA;NA;150;NA;NA;NA;NA
"119";"T22";225;225;NA;NA;225;NA;NA;225;NA;NA;NA;NA;NA;NA
"120";"T25-C-2";512,5;NA;512,5;NA;512,5;NA;NA;NA;NA;512,5;NA;NA;NA;NA
"121";"T26";425;425;NA;NA;425;NA;NA;425;NA;NA;NA;NA;NA;NA
"122";"T27";3987,5;1100;2887,5;NA;3875;NA;112,5;1100;NA;2775;NA;NA;NA;112,5
"123";"T29";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"124";"T3";21812,5;9062,5;12125;625;18100;3237,5;475;8837,5;2862,5;9012,5;225;250;375;250
"125";"T3-C-7";10602,5;7002,5;3600;NA;9167,5;NA;1435;5567,5;NA;3600;1435;NA;NA;NA
"126";"T3-C-8";15692,5;10170;5522,5;NA;14385;150;1157,5;9012,5;150;5372,5;1157,5;NA;NA;NA
"127";"T3-C-9";7307,5;6507,5;800;NA;6057,5;NA;1250;5257,5;NA;800;1250;NA;NA;NA
"128";"T31";500;NA;500;NA;500;NA;NA;NA;NA;500;NA;NA;NA;NA
"129";"T31-C-7";2725;112,5;2612,5;NA;2725;NA;NA;112,5;NA;2612,5;NA;NA;NA;NA
"130";"T31-C-8";375;NA;375;NA;375;NA;NA;NA;NA;375;NA;NA;NA;NA
"131";"T32";1962,5;NA;887,5;1075;1962,5;NA;NA;NA;NA;887,5;NA;1075;NA;NA
"132";"T32-C-10";1225;NA;862,5;362,5;750;475;NA;NA;475;387,5;NA;362,5;NA;NA
"133";"T32-C-9";3280;250;2892,5;137,5;1912,5;1205;162,5;250;1205;1525;NA;137,5;NA;162,5
"134";"T34";1137,5;NA;387,5;750;1137,5;NA;NA;NA;NA;387,5;NA;750;NA;NA
"135";"T35";3112,5;NA;1900;1212,5;3112,5;NA;NA;NA;NA;1900;NA;1212,5;NA;NA
"136";"T35-C-1";9727,5;NA;4470;5257,5;9115;612,5;NA;NA;NA;4470;NA;4645;612,5;NA
"137";"T35-C-2";12002,5;100;7070;4832,5;10465;1012,5;525;NA;137,5;6507,5;100;3957,5;875;425
"138";"T35-C-3";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"139";"T36-C-1";8312,5;NA;3700;4612,5;7962,5;350;NA;NA;137,5;3562,5;NA;4400;212,5;NA
"140";"T36-C-2";212,5;NA;212,5;NA;212,5;NA;NA;NA;NA;212,5;NA;NA;NA;NA
"141";"T36-C-3";1662,5;1500;162,5;NA;1662,5;NA;NA;1500;NA;162,5;NA;NA;NA;NA
