"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"105";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";20470;NA;9965;10505;19175;500;795;NA;NA;9170;NA;10005;500;795
"106";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";137,5;NA;137,5;NA;137,5;NA;NA;NA;NA;137,5;NA;NA;NA;NA
"107";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";987,5;112,5;875;NA;800;187,5;NA;112,5;187,5;687,5;NA;NA;NA;NA
"108";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";2530;1255;1275;NA;2162,5;125;242,5;1012,5;125;1150;242,5;NA;NA;NA
"109";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";375;237,5;137,5;NA;375;NA;NA;237,5;NA;137,5;NA;NA;NA;NA
"110";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";2703,75;2108,75;595;NA;2703,75;NA;NA;2108,75;NA;595;NA;NA;NA;NA
"111";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";543,75;543,75;NA;NA;543,75;NA;NA;543,75;NA;NA;NA;NA;NA;NA
"112";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";30230;3187,5;23580;3462,5;23297,5;175;6757,5;NA;NA;20010;3187,5;3287,5;175;3570
"113";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";225;NA;NA;225;225;NA;NA;NA;NA;NA;NA;225;NA;NA
"114";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";212,5;NA;NA;212,5;212,5;NA;NA;NA;NA;NA;NA;212,5;NA;NA
"115";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";3777,5;NA;2835;942,5;2835;942,5;NA;NA;NA;2835;NA;NA;942,5;NA
"116";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-02";2357,5;250;2107,5;NA;2107,5;NA;250;NA;NA;2107,5;250;NA;NA;NA
"117";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";1037,5;225;487,5;325;812,5;NA;225;NA;NA;487,5;225;325;NA;NA
"118";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-02";187,5;NA;187,5;NA;187,5;NA;NA;NA;NA;187,5;NA;NA;NA;NA
"119";"O3-C-1";250;NA;NA;250;250;NA;NA;NA;NA;NA;NA;250;NA;NA
"120";"T1";24330;7650;11662,5;5017,5;16505;7650;175;7475;4250;7412,5;175;1617,5;3400;NA
"121";"T12";250;NA;NA;250;250;NA;NA;NA;NA;NA;NA;250;NA;NA
"122";"T13";7062,5;250;6087,5;725;5887,5;1175;NA;250;450;5637,5;NA;NA;725;NA
"123";"T14";1900;1300;600;NA;1900;NA;NA;1300;NA;600;NA;NA;NA;NA
"124";"T18";187,5;187,5;NA;NA;NA;NA;187,5;NA;NA;NA;187,5;NA;NA;NA
"125";"T19";1725;1725;NA;NA;1725;NA;NA;1725;NA;NA;NA;NA;NA;NA
"126";"T2";6462,5;NA;1662,5;4800;2775;3687,5;NA;NA;1000;662,5;NA;2112,5;2687,5;NA
"127";"T22";225;225;NA;NA;225;NA;NA;225;NA;NA;NA;NA;NA;NA
"128";"T26";425;425;NA;NA;425;NA;NA;425;NA;NA;NA;NA;NA;NA
"129";"T27";3987,5;1100;2887,5;NA;3875;NA;112,5;1100;NA;2775;NA;NA;NA;112,5
"130";"T29";250;NA;250;NA;250;NA;NA;NA;NA;250;NA;NA;NA;NA
"131";"T3";21812,5;9062,5;12125;625;18100;3237,5;475;8837,5;2862,5;9012,5;225;250;375;250
"132";"T31";500;NA;500;NA;500;NA;NA;NA;NA;500;NA;NA;NA;NA
"133";"T32";1962,5;NA;887,5;1075;1962,5;NA;NA;NA;NA;887,5;NA;1075;NA;NA
"134";"T34";1137,5;NA;387,5;750;1137,5;NA;NA;NA;NA;387,5;NA;750;NA;NA
"135";"T35";3112,5;NA;1900;1212,5;3112,5;NA;NA;NA;NA;1900;NA;1212,5;NA;NA
