"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"163";"T44-C-1";15057,5;3175;NA;11882,5;1000;14057,5;NA
"164";"T45";2575;475;250;1850;1462,5;1112,5;NA
"165";"T45-C-1";12087,5;3687,5;NA;8400;1825;10050;212,5
"166";"T45-C-2";9650;5237,5;NA;4412,5;562,5;8975;112,5
"167";"T45-C-3";10537,5;1850;NA;8687,5;475;9937,5;125
"168";"T6";1150;NA;NA;1150;1150;NA;NA
"169";"T7";2575;1337,5;1237,5;NA;500;2075;NA
"170";"T7-C-11";825;NA;825;NA;NA;825;NA
"171";"T7-C-13";1285;NA;1285;NA;NA;1285;NA
"172";"T7-C-6";7327,5;290;7037,5;NA;NA;5590;1737,5
"173";"T7-C-7";3617,5;NA;3617,5;NA;NA;3167,5;450
"174";"V1";455;455;NA;NA;NA;455;NA
"175";"V1-C-4";8390;7440;950;NA;NA;6940;1450
"176";"V11-C-1";250;150;NA;100;100;150;NA
"177";"V12";225;225;NA;NA;NA;225;NA
"178";"V12-C-1";4975;2987,5;NA;1987,5;487,5;4487,5;NA
"179";"V12-C-2";400;225;NA;175;NA;400;NA
"180";"V12-C-3";500;NA;NA;500;NA;500;NA
"181";"V2";587,5;212,5;NA;375;NA;587,5;NA
"182";"V3";875;737,5;NA;137,5;137,5;737,5;NA
"183";"V6";187,5;NA;187,5;NA;NA;187,5;NA
"184";"V6-C-3";1985;95;1890;NA;NA;1985;NA
"185";"V9-C-3";2357,5;2357,5;NA;NA;NA;2357,5;NA
