"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"171";"T7-C-13";124548771,203972;53127093,5960591;66688078,6139126;NA;126215415,233415;NA;NA;57069509,4339623;NA;65821849,7109827;NA;NA;NA;NA
"172";"T7-C-6";710218771,203972;630486918,445539;36678443,2376519;NA;580983798,525799;NA;116058369,565217;539477584,90566;NA;36202017,3410405;102150199,203187;NA;NA;NA
"173";"T7-C-7";350626599,089781;328525232,621784;NA;NA;355318493,857494;NA;NA;352904188,679245;NA;NA;NA;NA;NA;NA
"174";"V1";44100926,7687216;NA;NA;49234682,0809249;44691061,4250614;NA;NA;NA;NA;NA;NA;49994159,0909091;NA;NA
"175";"V1-C-4";813201704,59247;160062397,372742;615912040,34135;17583815,0289017;752872496,314496;NA;59569782,6086957;101213018,867925;NA;607911797,687861;52431075,6972112;17855056,8181818;NA;NA
"176";"V11-C-1";24231278,4443525;NA;NA;27052023,1213873;24555528,2555283;NA;NA;NA;NA;NA;NA;27469318,1818182;NA;NA
"177";"V12";21808150,5999173;NA;21435453,8401862;NA;22099975,4299754;NA;NA;NA;NA;21157023,1213873;NA;NA;NA;NA
"178";"V12-C-1";482202441,042615;NA;132185298,681148;388196531,791908;488655012,285012;NA;NA;NA;NA;130468309,248555;NA;394184715,909091;NA;NA
"179";"V12-C-2";38770045,510964;NA;21435453,8401862;18936416,1849711;39288845,2088452;NA;NA;NA;NA;21157023,1213873;NA;19228522,7272727;NA;NA
"180";"V12-C-3";48462556,888705;NA;NA;54104046,2427746;49111056,5110565;NA;NA;NA;NA;NA;NA;54938636,3636364;NA;NA
"181";"V2";56943504,3442284;NA;20244595,2935092;40578034,6820809;33149963,1449631;25473684,2105263;NA;NA;NA;19981632,9479769;NA;13734659,0909091;24706751,0548523;NA
"182";"V3";84809474,5552338;22703886,152162;46443483,3204034;14878612,716763;61388820,6388206;NA;20541304,3478261;NA;NA;45840216,7630058;18079681,2749004;15108125;NA;NA
"183";"V6";18173458,8332644;NA;17862878,2001552;NA;18416646,1916462;NA;NA;NA;NA;17630852,6011561;NA;NA;NA;NA
"184";"V6-C-3";192396350,848159;148937493,158183;32867695,8882855;NA;194970894,348894;NA;NA;159989735,849057;NA;32440768,7861272;NA;NA;NA;NA
"185";"V9-C-3";228500955,730244;22703886,152162;200778750,969744;NA;207003103,194103;NA;20541304,3478261;NA;NA;198170783,236994;18079681,2749004;NA;NA;NA
